MB_X,MB_Y,MF_X,MF_Y,MFonMB_X,MFonMB_Y,Subj,Choice
6.3311,5.843,6.4907,5.6431,0.024121,0.0015562,7,0
-5.6689,-5.157,-5.5093,-1.3569,0.024121,0.0015562,7,1
-5.6689,-5.157,-5.5093,-2.3569,0.024121,0.0015562,7,0
-5.6689,5.843,-2.5093,5.6431,0.024121,0.0015562,7,1
5.3311,-5.157,5.4907,-5.3569,0.024121,0.0015562,7,0
5.3311,7.843,4.4907,7.6431,0.024121,0.0015562,7,1
-5.6689,4.843,-5.5093,4.6431,0.024121,0.0015562,7,0
4.3311,-5.157,4.4907,-2.3569,0.024121,0.0015562,7,0
-5.6689,-5.157,-2.5093,-5.3569,0.024121,0.0015562,7,1
4.3311,4.843,4.4907,-2.3569,0.024121,0.0015562,7,1
0.33109,5.843,0.49073,5.6431,0.024121,0.0015562,7,1
0.33109,-6.157,0.49073,-6.3569,0.024121,0.0015562,7,0
2.3311,3.843,-5.5093,4.6431,0.024121,0.0015562,7,1
3.3311,-6.157,3.4907,-6.3569,0.024121,0.0015562,7,1
3.3311,1.843,3.4907,2.6431,0.024121,0.0015562,7,0
1.3311,1.843,-5.5093,1.6431,0.024121,0.0015562,7,0
1.3311,-6.157,1.4907,-6.3569,0.024121,0.0015562,7,0
2.3311,-3.157,2.4907,-3.3569,0.024121,0.0015562,7,0
2.3311,2.843,2.4907,-3.3569,0.024121,0.0015562,7,1
-2.6689,-6.157,-2.5093,-6.3569,0.024121,0.0015562,7,0
1.3311,-2.157,2.4907,1.6431,0.024121,0.0015562,7,0
-2.6689,-6.157,1.4907,-6.3569,0.024121,0.0015562,7,0
0.33109,-1.157,0.49073,2.6431,0.024121,0.0015562,7,1
0.33109,-6.157,1.4907,-6.3569,0.024121,0.0015562,7,1
-1.6689,-6.157,-1.5093,-1.3569,0.024121,0.0015562,7,1
-1.6689,5.843,0.49073,5.6431,0.024121,0.0015562,7,1
0.33109,-1.157,1.4907,-1.3569,0.024121,0.0015562,7,0
-1.6689,-5.157,0.49073,-5.3569,0.024121,0.0015562,7,0
-1.6689,-1.157,-1.5093,-0.35689,0.024121,0.0015562,7,1
-0.66891,-5.157,-0.50927,-5.3569,0.024121,0.0015562,7,0
-0.66891,2.843,-1.5093,2.6431,0.024121,0.0015562,7,0
-0.66891,2.843,-1.5093,2.6431,0.024121,0.0015562,7,1
2.3311,-0.15705,2.4907,-1.3569,0.024121,0.0015562,7,0
-0.66891,-5.157,-1.5093,-5.3569,0.024121,0.0015562,7,0
-0.66891,-0.15705,-1.5093,-0.35689,0.024121,0.0015562,7,0
1.3311,1.843,-0.50927,1.6431,0.024121,0.0015562,7,0
-1.6689,0.84295,-0.50927,1.6431,0.024121,0.0015562,7,0
-2.6689,-5.157,-2.5093,-5.3569,0.024121,0.0015562,7,1
0.33109,0.84295,-1.5093,0.64311,0.024121,0.0015562,7,1
-0.66891,3.843,-0.50927,3.6431,0.024121,0.0015562,7,0
1.3311,-0.15705,-2.5093,1.6431,0.024121,0.0015562,7,0
-2.6689,3.843,-2.5093,3.6431,0.024121,0.0015562,7,0
2.3311,3.843,2.4907,3.6431,0.024121,0.0015562,7,1
-0.66891,2.843,-1.5093,2.6431,0.024121,0.0015562,7,0
-1.6689,1.843,1.4907,1.6431,0.024121,0.0015562,7,0
-1.6689,1.843,1.4907,1.6431,0.024121,0.0015562,7,1
2.3311,2.843,2.4907,1.6431,0.024121,0.0015562,7,0
1.3311,0.84295,-1.5093,0.64311,0.024121,0.0015562,7,1
-1.6689,1.843,-1.5093,1.6431,0.024121,0.0015562,7,0
-1.6689,0.84295,1.4907,0.64311,0.024121,0.0015562,7,0
-1.6689,0.84295,-1.5093,0.64311,0.024121,0.0015562,7,0
-1.6689,0.84295,-1.5093,0.64311,0.024121,0.0015562,7,0
-1.6689,-1.157,-1.5093,-1.3569,0.024121,0.0015562,7,0
-0.66891,2.843,-0.50927,2.6431,0.024121,0.0015562,7,0
-2.6689,0.84295,-1.5093,0.64311,0.024121,0.0015562,7,0
2.3311,0.84295,1.4907,0.64311,0.024121,0.0015562,7,0
-0.66891,2.843,0.49073,-0.35689,0.024121,0.0015562,7,0
-2.6689,0.84295,-0.50927,2.6431,0.024121,0.0015562,7,1
-2.6689,0.84295,-2.5093,0.64311,0.024121,0.0015562,7,0
-2.6689,-2.157,-2.5093,0.64311,0.024121,0.0015562,7,0
0.33109,-2.157,0.49073,-0.35689,0.024121,0.0015562,7,1
1.3311,0.84295,1.4907,-2.3569,0.024121,0.0015562,7,1
1.3311,-0.15705,-0.50927,0.64311,0.024121,0.0015562,7,1
1.3311,-1.157,1.4907,-1.3569,0.024121,0.0015562,7,1
1.3311,1.843,0.49073,0.64311,0.024121,0.0015562,7,0
1.3311,-1.157,-0.50927,1.6431,0.024121,0.0015562,7,1
1.3311,-1.157,1.4907,-1.3569,0.024121,0.0015562,7,1
1.3311,1.843,0.49073,1.6431,0.024121,0.0015562,7,0
1.3311,5.843,-4.5093,-0.35689,0.024121,0.0015562,7,1
1.3311,6.843,-4.5093,6.6431,0.024121,0.0015562,7,1
-4.6689,-1.157,1.4907,1.6431,0.024121,0.0015562,7,0
-4.6689,-4.157,5.4907,-4.3569,0.024121,0.0015562,7,1
-4.6689,2.843,-4.5093,5.6431,0.024121,0.0015562,7,1
-4.6689,-1.157,2.4907,1.6431,0.024121,0.0015562,7,0
1.3311,-1.157,6.4907,1.6431,0.024121,0.0015562,7,0
0.33109,-1.157,0.49073,1.6431,0.024121,0.0015562,7,0
0.33109,-1.157,-4.5093,1.6431,0.024121,0.0015562,7,1
1.3311,-1.157,7.4907,1.6431,0.024121,0.0015562,7,0
1.3311,0.84295,1.4907,-4.3569,0.024121,0.0015562,7,0
0.33109,1.843,-4.5093,1.6431,0.024121,0.0015562,7,1
0.33109,0.84295,-4.5093,-0.35689,0.024121,0.0015562,7,1
0.33109,-1.157,-4.5093,-1.3569,0.024121,0.0015562,7,1
0.33109,-1.157,-4.5093,0.64311,0.024121,0.0015562,7,1
0.33109,-6.157,-4.5093,-6.3569,0.024121,0.0015562,7,1
-6.6689,-1.157,-4.5093,-1.3569,0.024121,0.0015562,7,1
-7.6689,0.84295,-4.5093,1.6431,0.024121,0.0015562,7,0
-6.6689,-1.157,-4.5093,-7.3569,0.024121,0.0015562,7,0
-1.6689,0.84295,0.49073,1.6431,0.024121,0.0015562,7,1
-1.6689,-2.157,-5.5093,-2.3569,0.024121,0.0015562,7,1
-5.6689,-1.157,0.49073,-5.3569,0.024121,0.0015562,7,0
-5.6689,4.843,-5.5093,4.6431,0.024121,0.0015562,7,1
1.3311,1.843,-6.5093,1.6431,0.024121,0.0015562,7,0
1.3311,1.843,1.4907,-7.3569,0.024121,0.0015562,7,0
-3.6689,-3.157,-1.5093,-3.3569,0.024121,0.0015562,7,1
-3.6689,-1.157,-1.5093,-7.3569,0.024121,0.0015562,7,0
1.3311,-3.157,-3.5093,-3.3569,0.024121,0.0015562,7,1
1.3311,-0.15705,-3.5093,-7.3569,0.024121,0.0015562,7,0
1.3311,-3.157,1.4907,-0.35689,0.024121,0.0015562,7,0
-4.6689,-4.157,-4.5093,-5.3569,0.024121,0.0015562,7,1
1.3311,-3.157,-7.5093,-0.35689,0.024121,0.0015562,7,1
-4.6689,-5.157,1.4907,-7.3569,0.024121,0.0015562,7,0
-4.6689,-3.157,-4.5093,-3.3569,-1.9759,0.0015562,7,0
1.3311,-3.157,1.4907,-3.3569,0.024121,0.0015562,7,1
1.3311,0.84295,-2.5093,0.64311,0.024121,0.0015562,7,1
2.3311,-2.157,1.4907,-7.3569,0.024121,0.0015562,7,0
-5.6689,0.84295,-5.5093,2.6431,0.024121,0.0015562,7,0
-5.6689,-5.157,-5.5093,-7.3569,0.024121,0.0015562,7,0
-2.6689,0.84295,-7.5093,2.6431,0.024121,0.0015562,7,1
2.3311,-6.157,2.4907,-6.3569,0.024121,0.0015562,7,0
-2.6689,-6.157,-2.5093,-5.3569,0.024121,0.0015562,7,1
-6.6689,3.843,-6.5093,-2.3569,0.024121,0.0015562,7,1
-6.6689,-6.157,-6.5093,3.6431,0.024121,0.0015562,7,1
2.3311,-4.157,2.4907,-4.3569,0.024121,0.0015562,7,0
-4.6689,-6.157,-6.5093,-6.3569,0.024121,0.0015562,7,1
-4.6689,-7.157,-4.5093,-7.3569,0.024121,0.0015562,7,0
-2.6689,-2.157,-2.5093,-7.3569,0.024121,0.0015562,7,0
1.3311,-3.157,-6.5093,-3.3569,0.024121,0.0015562,7,0
0.33109,-3.157,1.4907,-7.3569,0.024121,0.0015562,7,1
0.33109,-3.157,0.49073,1.6431,0.024121,0.0015562,7,0
-3.6689,-7.157,-3.5093,-7.3569,0.024121,0.0015562,7,0
-1.6689,0.84295,-1.5093,0.64311,0.024121,0.0015562,7,0
1.3311,-7.157,-3.5093,-7.3569,0.024121,0.0015562,7,1
1.3311,0.84295,1.4907,0.64311,0.024121,0.0015562,7,0
0.33109,0.84295,0.49073,0.64311,0.024121,0.0015562,7,0
-0.66891,-6.157,-3.5093,-6.3569,0.024121,0.0015562,7,0
0.33109,0.84295,-0.50927,0.64311,0.024121,0.0015562,7,0
0.33109,-6.157,0.49073,-6.3569,0.024121,0.0015562,7,0
0.33109,-6.157,1.4907,-6.3569,0.024121,0.0015562,7,0
-0.66891,-4.157,-0.50927,-4.3569,0.024121,0.0015562,7,1
-4.6689,-6.157,-0.50927,-6.3569,0.024121,0.0015562,7,1
-4.6689,-0.15705,-0.50927,0.64311,0.024121,0.0015562,7,0
1.3311,-2.157,1.4907,-2.3569,0.024121,0.0015562,7,0
0.33109,-2.157,0.49073,-2.3569,0.024121,0.0015562,7,0
-4.6689,-2.157,-4.5093,-2.3569,0.024121,0.0015562,7,1
-0.66891,1.843,-0.50927,1.6431,0.024121,0.0015562,7,0
-3.6689,-3.157,0.49073,-3.3569,0.024121,0.0015562,7,0
-4.6689,1.843,0.49073,1.6431,0.024121,0.0015562,7,1
1.3311,1.843,-3.5093,0.64311,0.024121,0.0015562,7,0
-4.6689,-4.157,-4.5093,0.64311,0.024121,0.0015562,7,0
-4.6689,1.843,1.4907,1.6431,0.024121,0.0015562,7,1
-4.6689,0.84295,0.49073,0.64311,0.024121,0.0015562,7,1
-4.6689,-4.157,-4.5093,-4.3569,0.024121,0.0015562,7,1
-4.6689,-4.157,1.4907,-4.3569,0.024121,0.0015562,7,1
2.3311,2.843,1.4907,2.6431,0.024121,0.0015562,7,1
2.3311,2.843,1.4907,2.6431,0.024121,0.0015562,7,1
1.3311,0.84295,1.4907,0.64311,0.024121,0.0015562,7,1
-1.6689,-3.157,-1.5093,-3.3569,0.024121,0.0015562,13,1
-1.6689,-1.157,-1.5093,0.64311,0.024121,0.0015562,13,0
2.3311,-3.157,2.4907,-3.3569,0.024121,0.0015562,13,0
1.3311,-3.157,2.4907,-3.3569,0.024121,0.0015562,13,0
1.3311,2.843,1.4907,0.64311,0.024121,0.0015562,13,0
1.3311,-3.157,1.4907,-3.3569,-2.9759,0.0015562,13,0
0.33109,1.843,0.49073,0.64311,0.024121,0.0015562,13,0
3.3311,-3.157,-3.5093,1.6431,0.024121,0.0015562,13,1
3.3311,-3.157,-3.5093,-3.3569,0.024121,0.0015562,13,0
-1.6689,-1.157,3.4907,-1.3569,0.024121,0.0015562,13,1
-2.6689,-3.157,3.4907,-3.3569,0.024121,0.0015562,13,0
4.3311,-3.157,-2.5093,-3.3569,0.024121,0.0015562,13,0
4.3311,-3.157,-3.5093,-3.3569,0.024121,0.0015562,13,0
-1.6689,4.843,-1.5093,4.6431,0.024121,0.0015562,13,1
-1.6689,-3.157,0.49073,-3.3569,0.024121,0.0015562,13,1
-1.6689,4.843,-1.5093,3.6431,0.024121,0.0015562,13,1
4.3311,-1.157,4.4907,0.64311,0.024121,0.0015562,13,0
5.3311,4.843,-1.5093,4.6431,0.024121,0.0015562,13,0
4.3311,-3.157,4.4907,4.6431,0.024121,0.0015562,13,1
-1.6689,4.843,5.4907,4.6431,0.024121,0.0015562,13,1
-1.6689,-3.157,5.4907,-1.3569,0.024121,0.0015562,13,1
-1.6689,-0.15705,5.4907,-0.35689,0.024121,0.0015562,13,1
-1.6689,-1.157,5.4907,0.64311,0.024121,0.0015562,13,0
-2.6689,-2.157,-2.5093,-1.3569,0.024121,0.0015562,13,1
-2.6689,-2.157,-2.5093,-1.3569,0.024121,0.0015562,13,0
-3.6689,-0.15705,-3.5093,-1.3569,0.024121,0.0015562,13,1
-3.6689,-3.157,0.49073,-3.3569,0.024121,0.0015562,13,1
-3.6689,-3.157,0.49073,6.6431,0.024121,0.0015562,13,0
6.3311,-2.157,5.4907,-2.3569,0.024121,0.0015562,13,0
6.3311,-3.157,6.4907,6.6431,0.024121,0.0015562,13,1
6.3311,6.843,6.4907,-3.3569,0.024121,0.0015562,13,0
1.3311,-2.157,1.4907,-2.3569,0.024121,0.0015562,13,0
-2.6689,-4.157,-2.5093,-4.3569,0.024121,0.0015562,13,0
5.3311,-4.157,5.4907,-3.3569,0.024121,0.0015562,13,0
5.3311,-4.157,4.4907,-4.3569,0.024121,0.0015562,13,0
-4.6689,-4.157,-3.5093,-1.3569,0.024121,0.0015562,13,1
4.3311,-4.157,-4.5093,-4.3569,0.024121,0.0015562,13,0
-4.6689,-4.157,-4.5093,-4.3569,0.024121,0.0015562,13,1
4.3311,4.843,4.4907,-4.3569,0.024121,0.0015562,13,1
0.33109,5.843,0.49073,5.6431,0.024121,0.0015562,13,0
1.3311,5.843,1.4907,5.6431,0.024121,0.0015562,13,0
2.3311,3.843,-3.5093,4.6431,0.024121,0.0015562,13,1
3.3311,5.843,3.4907,5.6431,0.024121,0.0015562,13,0
-4.6689,1.843,-4.5093,2.6431,0.024121,0.0015562,13,1
1.3311,-4.157,-3.5093,1.6431,0.024121,0.0015562,13,1
1.3311,5.843,-4.5093,5.6431,0.024121,0.0015562,13,0
2.3311,1.843,2.4907,-3.3569,0.024121,0.0015562,13,0
2.3311,2.843,2.4907,-3.3569,0.024121,0.0015562,13,1
-2.6689,5.843,-2.5093,5.6431,0.024121,0.0015562,13,0
1.3311,-2.157,2.4907,1.6431,0.024121,0.0015562,13,0
-2.6689,5.843,1.4907,5.6431,0.024121,0.0015562,13,0
0.33109,-1.157,0.49073,1.6431,0.024121,0.0015562,13,1
0.33109,5.843,1.4907,5.6431,0.024121,0.0015562,13,0
-1.6689,5.843,-1.5093,5.6431,0.024121,0.0015562,13,1
-1.6689,5.843,0.49073,5.6431,0.024121,0.0015562,13,1
-0.66891,-1.157,-0.50927,-1.3569,0.024121,0.0015562,13,1
-1.6689,-5.157,0.49073,-5.3569,0.024121,0.0015562,13,1
-1.6689,-0.15705,-1.5093,-0.35689,0.024121,0.0015562,13,1
-1.6689,-4.157,-0.50927,-4.3569,0.024121,0.0015562,13,0
-0.66891,2.843,-1.5093,2.6431,0.024121,0.0015562,13,1
-0.66891,2.843,0.49073,-0.35689,0.024121,0.0015562,13,0
0.33109,-1.157,-0.50927,-1.3569,0.024121,0.0015562,13,0
-0.66891,-4.157,-1.5093,-4.3569,0.024121,0.0015562,13,0
-0.66891,-0.15705,0.49073,-0.35689,0.024121,0.0015562,13,0
1.3311,1.843,-1.5093,1.6431,0.024121,0.0015562,13,0
-1.6689,0.84295,-0.50927,1.6431,0.024121,0.0015562,13,1
-1.6689,-4.157,-0.50927,-4.3569,0.024121,0.0015562,13,1
0.33109,0.84295,-1.5093,0.64311,0.024121,0.0015562,13,0
0.33109,-4.157,0.49073,3.6431,0.024121,0.0015562,13,0
1.3311,1.843,-0.50927,1.6431,0.024121,0.0015562,13,0
-2.6689,-4.157,-2.5093,3.6431,0.024121,0.0015562,13,0
2.3311,-4.157,2.4907,3.6431,0.024121,0.0015562,13,1
0.33109,2.843,-4.5093,2.6431,0.024121,0.0015562,13,1
0.33109,1.843,1.4907,1.6431,0.024121,0.0015562,13,1
1.3311,-3.157,1.4907,-3.3569,0.024121,0.0015562,13,1
2.3311,2.843,2.4907,1.6431,0.024121,0.0015562,13,0
1.3311,0.84295,-4.5093,0.64311,0.024121,0.0015562,13,0
0.33109,2.843,2.4907,1.6431,0.024121,0.0015562,13,0
2.3311,0.84295,1.4907,0.64311,0.024121,0.0015562,13,1
-1.6689,0.84295,-1.5093,-1.3569,0.024121,0.0015562,13,1
-1.6689,0.84295,-1.5093,-1.3569,0.024121,0.0015562,13,1
-1.6689,-1.157,-1.5093,1.6431,0.024121,0.0015562,13,0
-0.66891,-1.157,-0.50927,1.6431,0.024121,0.0015562,13,1
-0.66891,-0.15705,1.4907,-1.3569,0.024121,0.0015562,13,1
-1.6689,-3.157,1.4907,-3.3569,0.024121,0.0015562,13,0
-0.66891,-1.157,1.4907,-0.35689,0.024121,0.0015562,13,1
0.33109,-0.15705,0.49073,-0.35689,0.024121,0.0015562,13,0
-2.6689,-0.15705,-0.50927,1.6431,0.024121,0.0015562,13,1
2.3311,2.843,-0.50927,2.6431,0.024121,0.0015562,13,0
0.33109,-2.157,0.49073,-2.3569,0.024121,0.0015562,13,0
1.3311,2.843,-2.5093,-0.35689,0.024121,0.0015562,13,0
-3.6689,-3.157,-0.50927,-3.3569,0.024121,0.0015562,13,0
2.3311,-3.157,-3.5093,-3.3569,0.024121,0.0015562,13,0
3.3311,2.843,1.4907,2.6431,0.024121,0.0015562,13,1
3.3311,-3.157,2.4907,-3.3569,0.024121,0.0015562,13,0
2.3311,-3.157,3.4907,-3.3569,0.024121,0.0015562,13,0
2.3311,3.843,4.4907,2.6431,0.024121,0.0015562,13,0
3.3311,5.843,1.4907,2.6431,0.024121,0.0015562,13,1
3.3311,6.843,1.4907,6.6431,0.024121,0.0015562,13,1
-4.6689,-3.157,2.4907,-3.3569,0.024121,0.0015562,13,1
-4.6689,6.843,5.4907,-4.3569,0.024121,0.0015562,13,1
-4.6689,2.843,1.4907,5.6431,0.024121,0.0015562,13,1
6.3311,0.84295,2.4907,0.64311,0.024121,0.0015562,13,1
6.3311,0.84295,6.4907,0.64311,0.024121,0.0015562,13,0
0.33109,0.84295,0.49073,0.64311,0.024121,0.0015562,13,0
0.33109,0.84295,2.4907,0.64311,0.024121,0.0015562,13,1
1.3311,0.84295,7.4907,1.6431,0.024121,0.0015562,13,1
1.3311,0.84295,7.4907,2.6431,0.024121,0.0015562,13,0
0.33109,7.843,1.4907,2.6431,0.024121,0.0015562,13,1
0.33109,0.84295,2.4907,-0.35689,0.024121,0.0015562,13,1
0.33109,-1.157,1.4907,-1.3569,0.024121,0.0015562,13,1
0.33109,-1.157,2.4907,0.64311,0.024121,0.0015562,13,1
0.33109,-6.157,1.4907,-6.3569,0.024121,0.0015562,13,0
1.3311,-1.157,1.4907,-6.3569,0.024121,0.0015562,13,1
-7.6689,0.84295,1.4907,2.6431,0.024121,0.0015562,13,0
-6.6689,-1.157,2.4907,-7.3569,0.024121,0.0015562,13,1
8.3311,0.84295,0.49073,2.6431,0.024121,0.0015562,13,0
8.3311,0.84295,2.4907,2.6431,0.024121,0.0015562,13,1
8.3311,8.843,8.4907,2.6431,0.024121,0.0015562,13,1
1.3311,4.843,1.4907,4.6431,0.024121,0.0015562,13,1
1.3311,1.843,-6.5093,8.6431,0.024121,0.0015562,13,0
8.3311,8.843,8.4907,8.6431,0.024121,0.0015562,13,0
-3.6689,-3.157,-1.5093,-3.3569,0.024121,0.0015562,13,1
-3.6689,-1.157,-1.5093,8.6431,0.024121,0.0015562,13,0
1.3311,-3.157,-3.5093,-3.3569,0.024121,0.0015562,13,0
1.3311,-1.157,1.4907,8.6431,0.024121,0.0015562,13,0
1.3311,-3.157,1.4907,-3.3569,0.024121,0.0015562,13,0
-4.6689,-4.157,-4.5093,1.6431,0.024121,0.0015562,13,1
1.3311,-3.157,8.4907,-3.3569,0.024121,0.0015562,13,0
-4.6689,6.843,1.4907,6.6431,0.024121,0.0015562,13,0
-4.6689,-3.157,-4.5093,-3.3569,-1.9759,0.0015562,13,0
1.3311,-3.157,1.4907,-3.3569,0.024121,0.0015562,13,1
1.3311,0.84295,-2.5093,0.64311,0.024121,0.0015562,13,0
1.3311,2.843,1.4907,6.6431,0.024121,0.0015562,13,1
1.3311,0.84295,-5.5093,0.64311,0.024121,0.0015562,13,1
-5.6689,5.843,1.4907,5.6431,0.024121,0.0015562,13,1
-4.6689,0.84295,-4.5093,-5.3569,0.024121,0.0015562,13,0
-5.6689,0.84295,1.4907,-5.3569,0.024121,0.0015562,13,1
4.3311,-5.157,2.4907,-5.3569,0.024121,0.0015562,13,0
-5.6689,3.843,1.4907,3.6431,0.024121,0.0015562,13,1
-5.6689,-5.157,1.4907,-5.3569,0.024121,0.0015562,13,0
2.3311,-4.157,2.4907,-5.3569,0.024121,0.0015562,13,0
-4.6689,-6.157,-4.5093,-6.3569,0.024121,0.0015562,13,0
-2.6689,-6.157,-5.5093,-6.3569,0.024121,0.0015562,13,0
-2.6689,-2.157,-2.5093,4.6431,0.024121,0.0015562,13,1
-2.6689,-3.157,-2.5093,-2.3569,0.024121,0.0015562,13,0
0.33109,-3.157,1.4907,-3.3569,0.024121,0.0015562,13,0
0.33109,1.843,0.49073,1.6431,0.024121,0.0015562,13,1
1.3311,-6.157,-3.5093,-6.3569,-0.97588,0.0015562,13,0
1.3311,0.84295,0.49073,0.64311,0.024121,0.0015562,13,0
1.3311,-6.157,-2.5093,-6.3569,0.024121,0.0015562,13,1
1.3311,0.84295,1.4907,0.64311,0.024121,0.0015562,13,0
0.33109,0.84295,0.49073,0.64311,0.024121,0.0015562,13,1
0.33109,-6.157,-2.5093,-6.3569,0.024121,0.0015562,13,0
0.33109,0.84295,0.49073,0.64311,0.024121,0.0015562,13,0
0.33109,-6.157,0.49073,-6.3569,0.024121,0.0015562,13,1
0.33109,2.843,-1.5093,2.6431,0.024121,0.0015562,13,0
-0.66891,0.84295,-0.50927,0.64311,0.024121,0.0015562,13,0
1.3311,2.843,-0.50927,2.6431,0.024121,0.0015562,13,0
0.33109,-0.15705,0.49073,0.64311,0.024121,0.0015562,13,0
1.3311,2.843,1.4907,2.6431,0.024121,0.0015562,13,0
0.33109,2.843,0.49073,2.6431,0.024121,0.0015562,13,1
0.33109,-0.15705,0.49073,-0.35689,0.024121,0.0015562,13,1
-0.66891,1.843,1.4907,1.6431,0.024121,0.0015562,13,0
-3.6689,-3.157,0.49073,-3.3569,0.024121,0.0015562,13,0
0.33109,1.843,0.49073,1.6431,0.024121,0.0015562,13,1
1.3311,1.843,-3.5093,0.64311,0.024121,0.0015562,13,0
0.33109,0.84295,0.49073,0.64311,0.024121,0.0015562,13,0
-4.6689,1.843,1.4907,1.6431,0.024121,0.0015562,13,0
-4.6689,1.843,0.49073,1.6431,0.024121,0.0015562,13,1
1.3311,-4.157,-4.5093,-4.3569,0.024121,0.0015562,13,0
2.3311,2.843,1.4907,2.6431,0.024121,0.0015562,13,1
2.3311,2.843,1.4907,2.6431,0.024121,0.0015562,13,0
2.3311,2.843,2.4907,2.6431,0.024121,0.0015562,13,0
2.3311,0.84295,2.4907,0.64311,0.024121,0.0015562,13,1
5.3311,-0.15705,5.4907,-1.3569,0.024121,0.0015562,15,0
3.3311,3.843,3.4907,-0.35689,0.024121,0.0015562,15,0
-1.6689,4.843,-1.5093,4.6431,0.024121,0.0015562,15,1
2.3311,2.843,2.4907,2.6431,0.024121,0.0015562,15,0
1.3311,-1.157,1.4907,-0.35689,0.024121,0.0015562,15,1
1.3311,2.843,0.49073,2.6431,0.024121,0.0015562,15,1
-0.66891,-3.157,0.49073,-3.3569,0.024121,0.0015562,15,1
1.3311,1.843,1.4907,-1.3569,0.024121,0.0015562,15,0
-0.66891,2.843,-0.50927,2.6431,0.024121,0.0015562,15,1
-0.66891,-0.15705,0.49073,-0.35689,0.024121,0.0015562,15,0
-2.6689,3.843,-2.5093,3.6431,0.024121,0.0015562,15,1
0.33109,1.843,-0.50927,-1.3569,0.024121,0.0015562,15,0
-2.6689,3.843,-1.5093,0.64311,0.024121,0.0015562,15,1
-1.6689,-2.157,-1.5093,-1.3569,0.024121,0.0015562,15,0
0.33109,5.843,1.4907,5.6431,0.024121,0.0015562,15,1
0.33109,4.843,0.49073,-1.3569,0.024121,0.0015562,15,1
4.3311,0.84295,-2.5093,1.6431,0.024121,0.0015562,15,0
5.3311,4.843,0.49073,4.6431,0.024121,0.0015562,15,0
4.3311,5.843,4.4907,4.6431,0.024121,0.0015562,15,1
-1.6689,4.843,5.4907,4.6431,0.024121,0.0015562,15,1
-1.6689,5.843,5.4907,-1.3569,0.024121,0.0015562,15,1
-1.6689,-0.15705,5.4907,-0.35689,0.024121,0.0015562,15,1
-1.6689,-1.157,5.4907,1.6431,0.024121,0.0015562,15,0
-2.6689,-2.157,-2.5093,-1.3569,0.024121,0.0015562,15,1
-2.6689,-2.157,-2.5093,-1.3569,0.024121,0.0015562,15,0
-3.6689,-0.15705,-3.5093,-1.3569,0.024121,0.0015562,15,1
-3.6689,-3.157,1.4907,-3.3569,0.024121,0.0015562,15,1
-3.6689,-3.157,1.4907,6.6431,0.024121,0.0015562,15,1
6.3311,-3.157,5.4907,1.6431,0.024121,0.0015562,15,0
6.3311,5.843,6.4907,5.6431,0.024121,0.0015562,15,1
6.3311,6.843,6.4907,-3.3569,0.024121,0.0015562,15,0
1.3311,-3.157,1.4907,1.6431,0.024121,0.0015562,15,0
-3.6689,-4.157,1.4907,-4.3569,0.024121,0.0015562,15,1
5.3311,-3.157,5.4907,-3.3569,0.024121,0.0015562,15,0
5.3311,7.843,4.4907,7.6431,0.024121,0.0015562,15,0
-3.6689,-4.157,-3.5093,-1.3569,0.024121,0.0015562,15,1
4.3311,-3.157,-4.5093,1.6431,0.024121,0.0015562,15,0
-3.6689,7.843,1.4907,7.6431,0.024121,0.0015562,15,1
4.3311,4.843,4.4907,1.6431,0.024121,0.0015562,15,0
0.33109,5.843,1.4907,5.6431,0.024121,0.0015562,15,0
1.3311,5.843,1.4907,5.6431,0.024121,0.0015562,15,0
2.3311,0.84295,-3.5093,0.64311,0.024121,0.0015562,15,1
3.3311,5.843,3.4907,5.6431,0.024121,0.0015562,15,1
3.3311,1.843,3.4907,2.6431,0.024121,0.0015562,15,1
1.3311,1.843,-3.5093,1.6431,0.024121,0.0015562,15,1
1.3311,-6.157,3.4907,-6.3569,0.024121,0.0015562,15,1
2.3311,1.843,3.4907,-3.3569,0.024121,0.0015562,15,0
2.3311,2.843,2.4907,-3.3569,0.024121,0.0015562,15,0
1.3311,-6.157,-3.5093,2.6431,0.024121,0.0015562,15,1
1.3311,1.843,-2.5093,-3.3569,0.024121,0.0015562,15,0
1.3311,-6.157,-3.5093,1.6431,0.024121,0.0015562,15,1
0.33109,1.843,0.49073,1.6431,0.024121,0.0015562,15,0
0.33109,-6.157,1.4907,0.64311,0.024121,0.0015562,15,1
-1.6689,-6.157,1.4907,-1.3569,0.024121,0.0015562,15,1
-1.6689,5.843,0.49073,5.6431,0.024121,0.0015562,15,1
0.33109,-1.157,1.4907,1.6431,0.024121,0.0015562,15,0
-1.6689,-5.157,0.49073,-5.3569,0.024121,0.0015562,15,0
-1.6689,-1.157,-3.5093,-0.35689,0.024121,0.0015562,15,1
-0.66891,-5.157,-0.50927,-5.3569,0.024121,0.0015562,15,0
-0.66891,2.843,-3.5093,2.6431,0.024121,0.0015562,15,1
-0.66891,2.843,-1.5093,-0.35689,0.024121,0.0015562,15,1
2.3311,-1.157,2.4907,1.6431,0.024121,0.0015562,15,1
2.3311,3.843,3.4907,-5.3569,0.024121,0.0015562,15,0
2.3311,2.843,-1.5093,2.6431,0.024121,0.0015562,15,0
1.3311,1.843,-3.5093,1.6431,0.024121,0.0015562,15,0
